File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.11,0.91,0.999,0.952,"[[10858    11]
 [ 1073  8927]]",0.026
BalancedData_50000.csv,0.92,0.124,0.92,0.999,0.958,"[[10856    13]
 [  944  9056]]",0.026
BalancedData_50000.csv,0.93,0.143,0.93,0.998,0.963,"[[10852    17]
 [  816  9184]]",0.026
BalancedData_50000.csv,0.94,0.169,0.94,0.998,0.968,"[[10844    25]
 [  692  9308]]",0.026
BalancedData_50000.csv,0.95,0.204,0.95,0.997,0.973,"[[10832    37]
 [  570  9430]]",0.026
BalancedData_50000.csv,0.96,0.259,0.96,0.995,0.977,"[[10813    56]
 [  450  9550]]",0.026
BalancedData_50000.csv,0.97,0.364,0.97,0.99,0.98,"[[10760   109]
 [  332  9668]]",0.026
BalancedData_100000.csv,0.91,0.2,0.91,0.998,0.952,"[[10843    26]
 [ 1072 18928]]",0.046
BalancedData_100000.csv,0.92,0.24,0.92,0.996,0.956,"[[10825    44]
 [  941 19059]]",0.046
BalancedData_100000.csv,0.93,0.29,0.93,0.994,0.961,"[[10806    63]
 [  813 19187]]",0.046
BalancedData_100000.csv,0.94,0.366,0.94,0.992,0.965,"[[10777    92]
 [  687 19313]]",0.046
BalancedData_100000.csv,0.95,0.462,0.95,0.985,0.967,"[[10710   159]
 [  563 19437]]",0.046
BalancedData_100000.csv,0.96,0.577,0.96,0.976,0.968,"[[10608   261]
 [  442 19558]]",0.046
BalancedData_100000.csv,0.97,0.714,0.97,0.953,0.961,"[[10357   512]
 [  320 19680]]",0.046
BalancedData_200000.csv,0.91,0.44,0.91,0.987,0.947,"[[10733   136]
 [ 1061 38939]]",0.063
BalancedData_200000.csv,0.92,0.493,0.92,0.984,0.951,"[[10695   174]
 [  930 39070]]",0.063
BalancedData_200000.csv,0.93,0.573,0.93,0.978,0.953,"[[10630   239]
 [  800 39200]]",0.063
BalancedData_200000.csv,0.94,0.651,0.94,0.969,0.954,"[[10536   333]
 [  672 39328]]",0.063
BalancedData_200000.csv,0.95,0.731,0.95,0.955,0.952,"[[10376   493]
 [  546 39454]]",0.063
BalancedData_200000.csv,0.96,0.815,0.96,0.932,0.946,"[[10129   740]
 [  422 39578]]",0.063
BalancedData_200000.csv,0.97,0.88,0.97,0.895,0.931,"[[ 9729  1140]
 [  300 39700]]",0.063
BalancedData_500000.csv,0.91,0.807,0.91,0.942,0.926,"[[10242   627]
 [ 1012 98988]]",0.183
BalancedData_500000.csv,0.92,0.843,0.92,0.93,0.925,"[[10104   765]
 [  878 99122]]",0.183
BalancedData_500000.csv,0.93,0.875,0.93,0.917,0.924,"[[ 9968   901]
 [  750 99250]]",0.183
BalancedData_500000.csv,0.94,0.907,0.94,0.894,0.916,"[[ 9718  1151]
 [  620 99380]]",0.183
BalancedData_500000.csv,0.95,0.934,0.95,0.863,0.905,"[[ 9385  1484]
 [  493 99507]]",0.183
BalancedData_500000.csv,0.96,0.959,0.96,0.808,0.878,"[[ 8785  2084]
 [  366 99634]]",0.183
BalancedData_500000.csv,0.97,0.974,0.97,0.753,0.848,"[[ 8187  2682]
 [  253 99747]]",0.183
BalancedData_1000000.csv,0.91,0.941,0.91,0.881,0.895,"[[  9573   1296]
 [   946 199054]]",0.354
BalancedData_1000000.csv,0.92,0.954,0.92,0.857,0.887,"[[  9313   1556]
 [   809 199191]]",0.354
BalancedData_1000000.csv,0.93,0.966,0.93,0.83,0.877,"[[  9019   1850]
 [   678 199322]]",0.354
BalancedData_1000000.csv,0.94,0.976,0.94,0.79,0.859,"[[  8587   2282]
 [   548 199452]]",0.354
BalancedData_1000000.csv,0.95,0.984,0.95,0.736,0.829,"[[  7999   2870]
 [   421 199579]]",0.354
BalancedData_1000000.csv,0.96,0.994,0.96,0.591,0.732,"[[  6428   4441]
 [   267 199733]]",0.354
BalancedData_1000000.csv,0.97,0.999,0.97,0.301,0.459,"[[  3271   7598]
 [   101 199899]]",0.354
BalancedData_3000000.csv,0.91,0.998,0.91,0.488,0.635,"[[  5300   5569]
 [   524 599476]]",1.476
BalancedData_3000000.csv,0.92,0.999,0.92,0.357,0.515,"[[  3885   6984]
 [   337 599663]]",1.476
BalancedData_3000000.csv,0.93,1.0,0.93,0.082,0.151,"[[   891   9978]
 [    67 599933]]",1.476
BalancedData_3000000.csv,0.94,1.0,0.94,0.045,0.086,"[[   488  10381]
 [    31 599969]]",1.476
BalancedData_3000000.csv,0.95,1.0,1.0,0.001,0.001,"[[     8  10861]
 [     0 600000]]",1.476
BalancedData_3000000.csv,0.96,1.0,1.0,0.001,0.001,"[[     8  10861]
 [     0 600000]]",1.476
BalancedData_3000000.csv,0.97,1.0,1.0,0.001,0.001,"[[     8  10861]
 [     0 600000]]",1.476
