File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.096,0.91,0.998,0.952,"[[11920    18]
 [ 1178  8822]]",0.028
BalancedData_50000.csv,0.92,0.106,0.92,0.998,0.957,"[[11916    22]
 [ 1036  8964]]",0.028
BalancedData_50000.csv,0.93,0.12,0.93,0.998,0.963,"[[11911    27]
 [  896  9104]]",0.028
BalancedData_50000.csv,0.94,0.14,0.94,0.997,0.968,"[[11905    33]
 [  759  9241]]",0.028
BalancedData_50000.csv,0.95,0.166,0.95,0.997,0.973,"[[11900    38]
 [  626  9374]]",0.028
BalancedData_50000.csv,0.96,0.213,0.96,0.995,0.977,"[[11884    54]
 [  495  9505]]",0.028
BalancedData_50000.csv,0.97,0.296,0.97,0.992,0.981,"[[11847    91]
 [  366  9634]]",0.028
BalancedData_100000.csv,0.91,0.15,0.91,0.998,0.952,"[[11917    20]
 [ 1178 18823]]",0.046
BalancedData_100000.csv,0.92,0.17,0.92,0.998,0.957,"[[11912    25]
 [ 1035 18966]]",0.046
BalancedData_100000.csv,0.93,0.204,0.93,0.997,0.962,"[[11901    36]
 [  895 19106]]",0.046
BalancedData_100000.csv,0.94,0.252,0.94,0.995,0.967,"[[11880    57]
 [  758 19243]]",0.046
BalancedData_100000.csv,0.95,0.336,0.95,0.992,0.971,"[[11844    93]
 [  623 19378]]",0.046
BalancedData_100000.csv,0.96,0.467,0.96,0.983,0.972,"[[11740   197]
 [  489 19512]]",0.046
BalancedData_100000.csv,0.97,0.637,0.97,0.967,0.969,"[[11548   389]
 [  357 19644]]",0.046
BalancedData_200000.csv,0.91,0.369,0.91,0.991,0.949,"[[11827   110]
 [ 1169 38832]]",0.072
BalancedData_200000.csv,0.92,0.441,0.92,0.987,0.952,"[[11785   152]
 [ 1024 38977]]",0.072
BalancedData_200000.csv,0.93,0.515,0.93,0.983,0.956,"[[11729   208]
 [  882 39119]]",0.072
BalancedData_200000.csv,0.94,0.589,0.94,0.976,0.958,"[[11649   288]
 [  743 39258]]",0.072
BalancedData_200000.csv,0.95,0.668,0.95,0.966,0.958,"[[11527   410]
 [  606 39395]]",0.072
BalancedData_200000.csv,0.96,0.747,0.96,0.952,0.956,"[[11360   577]
 [  473 39528]]",0.072
BalancedData_200000.csv,0.97,0.825,0.97,0.929,0.949,"[[11094   843]
 [  343 39658]]",0.072
BalancedData_500000.csv,0.91,0.747,0.91,0.961,0.935,"[[11477   460]
 [ 1135 98866]]",0.168
BalancedData_500000.csv,0.92,0.795,0.92,0.95,0.935,"[[11345   592]
 [  986 99015]]",0.168
BalancedData_500000.csv,0.93,0.833,0.93,0.94,0.935,"[[11216   721]
 [  844 99157]]",0.168
BalancedData_500000.csv,0.94,0.867,0.94,0.926,0.933,"[[11049   888]
 [  705 99296]]",0.168
BalancedData_500000.csv,0.95,0.901,0.95,0.906,0.927,"[[10814  1123]
 [  569 99432]]",0.168
BalancedData_500000.csv,0.96,0.932,0.96,0.874,0.915,"[[10429  1508]
 [  434 99567]]",0.168
BalancedData_500000.csv,0.97,0.955,0.97,0.834,0.897,"[[ 9961  1976]
 [  308 99693]]",0.168
BalancedData_1000000.csv,0.91,0.902,0.91,0.923,0.917,"[[ 11023    914]
 [  1090 198911]]",0.359
BalancedData_1000000.csv,0.92,0.919,0.92,0.911,0.915,"[[ 10869   1068]
 [   945 199056]]",0.359
BalancedData_1000000.csv,0.93,0.935,0.93,0.895,0.912,"[[ 10683   1254]
 [   804 199197]]",0.359
BalancedData_1000000.csv,0.94,0.947,0.94,0.879,0.908,"[[ 10487   1450]
 [   669 199332]]",0.359
BalancedData_1000000.csv,0.95,0.961,0.95,0.851,0.898,"[[ 10161   1776]
 [   534 199467]]",0.359
BalancedData_1000000.csv,0.96,0.973,0.96,0.818,0.883,"[[  9761   2176]
 [   406 199595]]",0.359
BalancedData_1000000.csv,0.97,0.982,0.97,0.774,0.861,"[[  9234   2703]
 [   285 199716]]",0.359
BalancedData_3000000.csv,0.91,0.983,0.91,0.818,0.862,"[[  9763   2174]
 [   965 599036]]",1.328
BalancedData_3000000.csv,0.92,0.986,0.92,0.799,0.855,"[[  9542   2395]
 [   829 599172]]",1.328
BalancedData_3000000.csv,0.93,0.989,0.93,0.774,0.845,"[[  9241   2696]
 [   695 599306]]",1.328
BalancedData_3000000.csv,0.94,0.991,0.94,0.749,0.834,"[[  8942   2995]
 [   570 599431]]",1.328
BalancedData_3000000.csv,0.95,0.993,0.95,0.724,0.822,"[[  8638   3299]
 [   454 599547]]",1.328
BalancedData_3000000.csv,0.96,0.995,0.96,0.692,0.805,"[[  8266   3671]
 [   344 599657]]",1.328
BalancedData_3000000.csv,0.97,0.996,0.97,0.661,0.786,"[[  7888   4049]
 [   243 599758]]",1.328
