File,Precision_thr,Best Threshold,Precision,Recall,F1,Confusion Matrix,Training Time (m)
BalancedData_50000.csv,0.91,0.112,0.91,0.999,0.952,"[[13932    19]
 [ 1377  8623]]",0.031
BalancedData_50000.csv,0.92,0.123,0.92,0.998,0.958,"[[13930    21]
 [ 1211  8789]]",0.031
BalancedData_50000.csv,0.93,0.138,0.93,0.998,0.963,"[[13927    24]
 [ 1048  8952]]",0.031
BalancedData_50000.csv,0.94,0.156,0.94,0.998,0.968,"[[13923    28]
 [  888  9112]]",0.031
BalancedData_50000.csv,0.95,0.185,0.95,0.997,0.973,"[[13915    36]
 [  732  9268]]",0.031
BalancedData_50000.csv,0.96,0.225,0.96,0.996,0.978,"[[13890    61]
 [  578  9422]]",0.031
BalancedData_50000.csv,0.97,0.307,0.97,0.991,0.981,"[[13832   119]
 [  427  9573]]",0.031
BalancedData_100000.csv,0.91,0.167,0.91,0.998,0.952,"[[13920    31]
 [ 1376 18624]]",0.042
BalancedData_100000.csv,0.92,0.186,0.92,0.997,0.957,"[[13909    42]
 [ 1209 18791]]",0.042
BalancedData_100000.csv,0.93,0.21,0.93,0.997,0.962,"[[13904    47]
 [ 1046 18954]]",0.042
BalancedData_100000.csv,0.94,0.253,0.94,0.995,0.967,"[[13884    67]
 [  886 19114]]",0.042
BalancedData_100000.csv,0.95,0.307,0.95,0.993,0.971,"[[13860    91]
 [  729 19271]]",0.042
BalancedData_100000.csv,0.96,0.398,0.96,0.989,0.974,"[[13794   157]
 [  574 19426]]",0.042
BalancedData_100000.csv,0.97,0.534,0.97,0.978,0.974,"[[13641   310]
 [  421 19579]]",0.042
BalancedData_200000.csv,0.91,0.323,0.91,0.994,0.95,"[[13869    82]
 [ 1371 38629]]",0.067
BalancedData_200000.csv,0.92,0.39,0.92,0.992,0.955,"[[13839   112]
 [ 1203 38797]]",0.067
BalancedData_200000.csv,0.93,0.454,0.93,0.988,0.958,"[[13786   165]
 [ 1037 38963]]",0.067
BalancedData_200000.csv,0.94,0.522,0.94,0.984,0.962,"[[13734   217]
 [  876 39124]]",0.067
BalancedData_200000.csv,0.95,0.611,0.95,0.975,0.962,"[[13602   349]
 [  715 39285]]",0.067
BalancedData_200000.csv,0.96,0.683,0.96,0.964,0.962,"[[13451   500]
 [  560 39440]]",0.067
BalancedData_200000.csv,0.97,0.766,0.97,0.946,0.958,"[[13200   751]
 [  408 39592]]",0.067
BalancedData_500000.csv,0.91,0.655,0.91,0.973,0.94,"[[13572   379]
 [ 1342 98658]]",0.155
BalancedData_500000.csv,0.92,0.7,0.92,0.967,0.943,"[[13493   458]
 [ 1173 98827]]",0.155
BalancedData_500000.csv,0.93,0.751,0.93,0.958,0.944,"[[13360   591]
 [ 1005 98995]]",0.155
BalancedData_500000.csv,0.94,0.79,0.94,0.95,0.945,"[[13247   704]
 [  845 99155]]",0.155
BalancedData_500000.csv,0.95,0.829,0.95,0.938,0.944,"[[13093   858]
 [  689 99311]]",0.155
BalancedData_500000.csv,0.96,0.863,0.96,0.924,0.942,"[[12891  1060]
 [  537 99463]]",0.155
BalancedData_500000.csv,0.97,0.896,0.97,0.903,0.935,"[[12594  1357]
 [  389 99611]]",0.155
BalancedData_1000000.csv,0.91,0.836,0.91,0.945,0.927,"[[ 13184    767]
 [  1303 198697]]",0.311
BalancedData_1000000.csv,0.92,0.857,0.92,0.938,0.929,"[[ 13091    860]
 [  1138 198862]]",0.311
BalancedData_1000000.csv,0.93,0.877,0.93,0.93,0.93,"[[ 12973    978]
 [   976 199024]]",0.311
BalancedData_1000000.csv,0.94,0.895,0.94,0.92,0.93,"[[ 12839   1112]
 [   819 199181]]",0.311
BalancedData_1000000.csv,0.95,0.914,0.95,0.905,0.927,"[[ 12628   1323]
 [   664 199336]]",0.311
BalancedData_1000000.csv,0.96,0.929,0.96,0.892,0.925,"[[ 12441   1510]
 [   518 199482]]",0.311
BalancedData_1000000.csv,0.97,0.946,0.97,0.869,0.917,"[[ 12130   1821]
 [   375 199625]]",0.311
BalancedData_3000000.csv,0.91,0.947,0.91,0.905,0.907,"[[ 12621   1330]
 [  1248 598752]]",1.093
BalancedData_3000000.csv,0.92,0.953,0.92,0.897,0.908,"[[ 12511   1440]
 [  1087 598913]]",1.093
BalancedData_3000000.csv,0.93,0.958,0.93,0.889,0.909,"[[ 12401   1550]
 [   933 599067]]",1.093
BalancedData_3000000.csv,0.94,0.963,0.94,0.882,0.91,"[[ 12299   1652]
 [   785 599215]]",1.093
BalancedData_3000000.csv,0.95,0.967,0.95,0.872,0.909,"[[ 12168   1783]
 [   640 599360]]",1.093
BalancedData_3000000.csv,0.96,0.971,0.96,0.863,0.909,"[[ 12033   1918]
 [   501 599499]]",1.093
BalancedData_3000000.csv,0.97,0.975,0.97,0.851,0.907,"[[ 11871   2080]
 [   367 599633]]",1.093
BalancedData_6000000.csv,0.91,0.97,0.91,0.892,0.901,"[[  12449    1502]
 [   1231 1198769]]",7.051
BalancedData_6000000.csv,0.92,0.972,0.92,0.888,0.903,"[[  12382    1569]
 [   1076 1198924]]",7.051
BalancedData_6000000.csv,0.93,0.975,0.93,0.883,0.906,"[[  12313    1638]
 [    926 1199074]]",7.051
BalancedData_6000000.csv,0.94,0.977,0.94,0.877,0.907,"[[  12233    1718]
 [    780 1199220]]",7.051
BalancedData_6000000.csv,0.95,0.979,0.95,0.872,0.909,"[[  12164    1787]
 [    640 1199360]]",7.051
BalancedData_6000000.csv,0.96,0.98,0.96,0.866,0.91,"[[  12076    1875]
 [    503 1199497]]",7.051
BalancedData_6000000.csv,0.97,0.982,0.97,0.857,0.91,"[[  11953    1998]
 [    369 1199631]]",7.051
