feature,coef,impact
хан,5.698460699190246,positive
гас,5.309097739397071,positive
аев,5.245150768529418,positive
ае,4.810397434313792,positive
иев,4.684306811921271,positive
т ,4.676122502307178,positive
дин,4.569593409822255,positive
али,4.483466956358273,positive
ами,4.274911323424544,positive
 ом,4.258015127071867,positive
ат ,4.24635912478616,positive
еко,4.1210616780779326,positive
мед,3.9167162887181153,positive
аб,3.7400932793701616,positive
ие,3.7188717000833207,positive
ят ,3.6953533772171387,positive
гад,3.6775897603167196,positive
иб,3.66339786868115,positive
аг,3.5988744951570033,positive
аро,3.5115174184370956,positive
ва ,3.504645786644176,positive
асу,3.47685240256048,positive
дов,3.4747946102800586,positive
су,3.4093714083307316,positive
сул,3.363771048843641,positive
ият,3.3368849037729427,positive
осм,3.3335374046299786,positive
ьяс,3.2940124113343345,positive
ула,3.2556014960381265,positive
ов,3.2426815516950396,positive
оме,3.2311265263564644,positive
ило,3.1926907924999424,positive
ази,3.1901506273319593,positive
зан,3.1817787526930923,positive
гом,3.176138961120896,positive
му,3.1720798184837844,positive
дж,3.1610551577255475,positive
ма,3.1549812460019138,positive
в з,3.145251986339186,positive
лие,3.144501061938352,positive
ом,3.068785138533116,positive
идр,2.896289160090541,positive
 за,2.8296455089183037,positive
из,2.8291760093432483,positive
 дж,2.80474099835787,positive
уд,2.8043420518575486,positive
ам,2.783200604761352,positive
ома,2.7758670148890427,positive
 ис,2.771779729662952,positive
ших,2.7654311506328746,positive
кер,2.763776259058615,positive
маз,2.7384019228228977,positive
аго,2.720143717867065,positive
ака,2.716186420817513,positive
мус,2.701731820471131,positive
бек,2.7008890402536907,positive
уев,2.6988779704903045,positive
сма,2.656620889183758,positive
лла,2.648777578339024,positive
ирз,2.646226446796604,positive
бег,2.631458282301448,positive
бду,2.628476540387937,positive
джи,2.60358959303673,positive
яс,2.5866106604071217,positive
аж,2.572869745673088,positive
ас,2.5668358246256457,positive
ул,2.5531674593390905,positive
гю,2.4962488344850926,positive
ано,2.4794625748729633,positive
зва,2.458834853860775,positive
бов,2.4543630103820617,positive
уе,2.4474927849243815,positive
уди,2.438160786308015,positive
ме,2.4361617509649927,positive
маг,2.4336633740671143,positive
сен,2.4289032337673957,positive
в л,2.4262693258739376,positive
дир,2.421805233365536,positive
хал,2.415727600197353,positive
ати,2.4110826358605837,positive
ова,2.4105663519513483,positive
утд,2.4100501614689867,positive
урб,2.405370425757709,positive
в ,2.385947490521375,positive
изв,2.3748084440924297,positive
ру,2.366709942441016,positive
 ш,2.3640180306862284,positive
бан,2.355669670514176,positive
 му,2.3554849501009776,positive
ейн,2.347592950056444,positive
за,2.3411184678141805,positive
 ка,2.312698240343435,positive
 зу,2.302250656524416,positive
лам,2.2928294244143657,positive
риз,2.2564176534222717,positive
гим,2.2360906114034953,positive
нар,2.230998675789626,positive
арс,2.2253872578756213,positive
а ш,2.2230735947829032,positive
аги,2.2223835860072296,positive
 ба,2.220634334915647,positive
ум,2.220094659113827,positive
рсл,2.2198823176403444,positive
гюл,2.1994481896028737,positive
пат,2.192465944052401,positive
шах,2.191431804656077,positive
ап,2.188472792812246,positive
сае,2.179182752198991,positive
има,2.1626283875631462,positive
ям ,2.160992100260936,positive
сир,2.1474208190293993,positive
ере,2.1333603739178306,positive
кур,2.120508616081127,positive
га,2.1192285818453986,positive
ср,2.1113232193470512,positive
 им,2.111183094108526,positive
 гю,2.0973156653829474,positive
апи,2.0938314620473184,positive
ке,2.0897371397373403,positive
каи,2.087853535983919,positive
лик,2.0852414112258506,positive
джа,2.0820003009013175,positive
саи,2.0818041961303373,positive
 ч,2.078085767972187,positive
ад,2.0672009478597957,positive
йно,2.0652837872565746,positive
юсу,2.0634690626444345,positive
ги,2.057159100882213,positive
хме,2.055642137666004,positive
усе,2.0531455125202145,positive
рха,2.0463414099109007,positive
ажу,2.0448288489819912,positive
аса,2.036846696078864,positive
маи,2.0364578519840326,positive
ад ,2.0335638942508742,positive
ят,2.0289746853188095,positive
лей,2.0278833781490326,positive
иял,2.015049953757141,positive
бол,2.00960421399669,positive
бад,1.9882740171583204,positive
дул,1.9810112426167485,positive
в г,1.9791623266166314,positive
ьяе,1.978622332333755,positive
хб,1.9716613732923363,positive
гус,1.9709843576127022,positive
 ку,1.9564045962694938,positive
йн,1.9541973617964035,positive
ат,1.9501560075245625,positive
ди,1.94923687327604,positive
мае,1.9468003256999558,positive
ов ,1.9431684022445552,positive
амм,1.9354040868311226,positive
нав,1.9333203025583698,positive
 з,1.9266895772332548,positive
мин,1.921451023423178,positive
айг,1.921296300474635,positive
гам,1.9173271041242743,positive
аву,1.906212119262239,positive
шам,1.9047928602798896,positive
жа,1.9004662964381849,positive
 ра,1.89947445423626,positive
адж,1.8840952931266746,positive
ало,1.8763304022933938,positive
гер,1.8727252399715968,positive
йг,1.8698506802498085,positive
 на,1.8688564591255106,positive
ид,1.8655933138695362,positive
аи,1.8559317315470434,positive
 са,1.8541991997607787,positive
ахб,1.8472640007426364,positive
суп,1.8430965876387218,positive
би,1.8378625959595931,positive
сал,1.8300433574581565,positive
в н,1.829999180512517,positive
аба,1.8184891282514901,positive
рз,1.8112751354230916,positive
ада,1.8103769497602638,positive
ута,1.8050208184809011,positive
 ша,1.8043392495504178,positive
ева,1.8041695887593443,positive
алх,1.799713354868242,positive
бак,1.7994191886534232,positive
лат,1.7876512453327105,positive
рба,1.7861570950937444,positive
хиз,1.7850123349298879,positive
гит,1.7828149534398898,positive
жаб,1.7799267853982934,positive
ут,1.771292082792103,positive
лта,1.7683238557909386,positive
ши,1.757187289168105,positive
мил,1.755322695229371,positive
рб,1.7494774307821903,positive
диб,1.7427012298019469,positive
ус,1.7321297394894337,positive
тае,1.723779346349657,positive
мис,1.7164840314041145,positive
хба,1.7144709331619299,positive
ясо,1.712088222419489,positive
ир,1.7056437568612857,positive
уп,1.702075611631521,positive
аз,1.6957848476287423,positive
нап,1.6787782837269278,positive
ибе,1.6739995566340262,positive
аир,1.6668756406680707,positive
ала,1.6611594263897138,positive
изр,1.6594076368636135,positive
ай,1.6566824867346055,positive
йла,1.6525507861779918,positive
ьям,1.6516156417931376,positive
еми,1.6500419870084206,positive
зое,1.6468783134555196,positive
мза,1.6403570987313756,positive
т в,1.6334214295716998,positive
ум ,1.6318332970909963,positive
рту,1.6296379952675297,positive
кад,1.6251696799301387,positive
 ме,1.6240486112612929,positive
хов,1.6203758427936907,positive
вуд,1.6170438688741453,positive
жие,1.614732588516559,positive
зу,1.6145494361507131,positive
идо,1.6046122841178618,positive
дри,1.6028230732306823,positive
ба,1.6027649003334046,positive
дур,1.6010291351057613,positive
 гу,1.5984274822738398,positive
ну,1.5873775633953848,positive
зие,1.5835645791018715,positive
нус,1.5821993683109952,positive
хач,1.5800106612016307,positive
ити,1.5756905978378715,positive
ев ,1.5684474748593629,positive
 ид,1.5677042992253074,positive
 аи,1.5620950359018742,positive
рад,1.5552459804223617,positive
фае,1.5531614126684141,positive
нди,1.5508145578683934,positive
иср,1.5483563892070837,positive
ейл,1.5438278249281747,positive
яхь,1.5418661099860949,positive
гир,1.5304795654667076,positive
зв,1.5262373480152371,positive
эс,1.5249724256166164,positive
юс,1.5249343309268741,positive
бу,1.5220488246982453,positive
а р,1.5213480403628892,positive
юну,1.5180023247164314,positive
ву,1.516446406862892,positive
 ши,1.5107730302043776,positive
зул,1.5090695995676497,positive
 аб,1.5086536537720123,positive
и ,1.5039685926086108,positive
фия,1.4992424551588253,positive
 ам,1.4970512149599564,positive
енд,1.49604863923267,positive
лае,1.4956381997260326,positive
и в,1.4891068213138012,positive
рип,1.488805014690674,positive
раг,1.4887510957474068,positive
хта,1.484792669196745,positive
лан,1.484549003856298,positive
ады,1.4764812952158,positive
нв,1.4763737017648246,positive
 юс,1.4737196886112718,positive
ял ,1.47008657090805,positive
сеф,1.4700251110193268,positive
ров,1.4699729646501702,positive
овн,1.468583261430987,positive
ур,1.4653603531106056,positive
сли,1.4626150451173145,positive
гид,1.4623454258213846,positive
аид,1.4586986897747196,positive
таг,1.4545619383118136,positive
ач,1.450125214497263,positive
олт,1.44668795822899,positive
пи,1.4464005117080845,positive
баг,1.4428533320201964,positive
ям,1.4422880989739628,positive
ват,1.4380855341838636,positive
хья,1.432238568701256,positive
мал,1.4262212823949976,positive
 те,1.4202851017715987,positive
абу,1.4168375733220275,positive
лга,1.411032444355,positive
д ,1.4102704481570678,positive
ед,1.4101181757592598,positive
лих,1.4090017569026199,positive
ейх,1.4073845909515228,positive
 ат,1.405311692283813,positive
алг,1.3998494900981096,positive
тим,1.3982207344543314,positive
бий,1.3982082550215231,positive
ша,1.3977987364167508,positive
хь,1.3898444547215756,positive
йх,1.388478289784327,positive
еро,1.3873774009186657,positive
йб,1.3872782616984483,positive
бе,1.3860476448642784,positive
ино,1.3848722590769615,positive
к и,1.383428910494098,positive
укм,1.3831419202858173,positive
ыро,1.3829728450097645,positive
а х,1.3825028653067686,positive
кае,1.3810648386073627,positive
либ,1.3805108509862554,positive
айи,1.3760133253070501,positive
мут,1.375662079014747,positive
 у,1.374452641796685,positive
фик,1.3713595453099015,positive
рс,1.3711282374202323,positive
жи,1.36903484324965,positive
айш,1.3668654317143056,positive
йи,1.3638273972072665,positive
хав,1.36269115308808,positive
 ум,1.3615576245566852,positive
ния,1.3595711429986523,positive
асх,1.3584189966127094,positive
ибо,1.3553387234209056,positive
ри ,1.3551200317511183,positive
сак,1.354080095705684,positive
а ж,1.353178840551699,positive
апа,1.3502527370584578,positive
хае,1.345369643585586,positive
ша ,1.3369402323103987,positive
пир,1.3325975295111787,positive
ьби,1.3311868526362196,positive
аша,1.3287234268649182,positive
лах,1.3275160838602358,positive
льм,1.326557965755028,positive
ар ,1.323622726472701,positive
ей,1.3216552055995572,positive
ема,1.3183611333155263,positive
ерл,1.3149212083976296,positive
да,1.3148248438371628,positive
зух,1.3127346617320983,positive
мов,1.310990040119074,positive
