feature,coef,impact
хан,8.088100609762648,positive
гас,7.681843478285463,positive
аев,7.0780701988172545,positive
иев,6.726388566186715,positive
 ом,6.529237851719086,positive
дин,6.274621873682085,positive
ае,6.057574996232117,positive
т ,6.037761083438273,positive
али,5.873495369764138,positive
мед,5.755874965222379,positive
ами,5.712560641732638,positive
ат ,5.686435324020273,positive
гад,5.64458674361828,positive
еко,5.605872189869516,positive
асу,5.546787760694221,positive
ов,5.39764210579986,positive
аг,5.345730225893983,positive
ило,5.300058998150768,positive
сул,5.282353710209949,positive
ят ,5.276434479904038,positive
в з,5.111564831116265,positive
иб,5.085826794446161,positive
ом,5.045218828748094,positive
гом,4.962803428266168,positive
дов,4.926292824598014,positive
осм,4.9145621755715565,positive
оме,4.908555473798219,positive
ие,4.854093044468362,positive
ома,4.826615278472305,positive
маг,4.7955693784955296,positive
аб,4.77170321836516,positive
зан,4.7595310355814915,positive
ших,4.650187532875107,positive
су,4.629569737343204,positive
ази,4.628144109549143,positive
ьяс,4.6243589174067825,positive
ва ,4.605466317332082,positive
мус,4.569040568277006,positive
ият,4.549712341183545,positive
аго,4.491356297939173,positive
дж,4.371232304972126,positive
ула,4.3608134296046055,positive
бег,4.281953264081529,positive
 дж,4.272033946610092,positive
идр,4.251525189901438,positive
ака,4.240184875598389,positive
ма,4.178601477594841,positive
му,4.160877443170017,positive
бов,4.158912447615735,positive
гю,4.08404466858257,positive
джи,4.071893625623707,positive
 за,4.066671333616587,positive
 ис,4.061690635654869,positive
аро,4.05085465801686,positive
кер,3.956269327541214,positive
бду,3.93613886529909,positive
бол,3.912513563676998,positive
лие,3.903064706849406,positive
уев,3.8621474284342945,positive
из,3.8273386107088103,positive
лла,3.8142160321087646,positive
ирз,3.8102720026090307,positive
аж,3.799837850635899,positive
 ку,3.787018459293133,positive
зва,3.77874963485907,positive
ад ,3.7739177486303133,positive
сен,3.772282812255892,positive
уд,3.703418699446894,positive
нав,3.700908515257693,positive
рту,3.6875634848027636,positive
шах,3.666865436065542,positive
ас,3.6659912836734643,positive
яс,3.6510623075889437,positive
ажу,3.6438073658907078,positive
маз,3.632392087221715,positive
ам,3.628643698815613,positive
риз,3.6187213531393274,positive
сма,3.547970786755323,positive
лам,3.523702183641862,positive
дир,3.520389480179524,positive
гюл,3.485671714347709,positive
уе,3.4848046056555226,positive
урб,3.4808691078558684,positive
в ,3.4743488176867037,positive
уди,3.4520782717481264,positive
ру,3.437938228200657,positive
