feature,coef,impact
хан,7.973495234248334,positive
гас,7.792663844885674,positive
 ом,7.055650526886969,positive
аев,6.891971580883997,positive
иев,6.294479819628347,positive
еко,6.205382482699932,positive
дин,6.027854345142373,positive
мед,5.9930192561164715,positive
ае,5.832516203523712,positive
ят ,5.810881517093982,positive
ами,5.736631088801134,positive
гад,5.729236917937813,positive
т ,5.650100752499685,positive
ат ,5.6310606485686305,positive
ов,5.5157314780512054,positive
асу,5.485857981526146,positive
али,5.424369135930277,positive
гом,5.309319269759607,positive
зан,5.233126936235349,positive
аг,5.173991775603434,positive
оме,5.138373495141336,positive
осм,5.137656883756828,positive
иб,5.081969543206391,positive
дов,5.041740442655382,positive
ом,5.029071022581976,positive
ьяс,4.957648724831795,positive
в з,4.895742508037657,positive
ият,4.881862532297199,positive
ва ,4.677439322074819,positive
сул,4.666584462614981,positive
ие,4.652533979029713,positive
ома,4.649801620448041,positive
аго,4.592747296342778,positive
су,4.460268827617962,positive
ула,4.446391523006554,positive
аб,4.394353498246443,positive
ило,4.388068963350208,positive
бег,4.288673674678055,positive
ази,4.268222640799409,positive
аро,4.219916042979586,positive
дж,4.213492985920691,positive
кер,4.210289841354251,positive
из,4.184941084344877,positive
идр,4.160673397879782,positive
гю,4.146598075767528,positive
алх,4.142113312151979,positive
урб,4.117046757070085,positive
му,4.108014664276796,positive
 за,4.096703067981016,positive
мус,4.070966593466553,positive
маг,4.053916181340916,positive
а ш,4.034835215372529,positive
бов,3.9894231516316556,positive
 дж,3.9837764590654747,positive
рсл,3.969906256260879,positive
ших,3.960592422394816,positive
лла,3.909096125251043,positive
ака,3.8958835834379184,positive
бол,3.8688798673071156,positive
уев,3.8597057201085034,positive
гам,3.858323611423976,positive
шах,3.836173040815184,positive
ма,3.8329838166641204,positive
аж,3.7989347631017694,positive
в л,3.7988007023898125,positive
ас,3.7890974753948594,positive
маи,3.7820723822151314,positive
уд,3.765934379317471,positive
яс,3.7574703338583233,positive
 им,3.7313299097592747,positive
нав,3.728229353754026,positive
бду,3.72148064812778,positive
бан,3.721233030297747,positive
маз,3.720693041629862,positive
зое,3.7171730586081115,positive
ажу,3.7154779819239523,positive
рту,3.670370458590613,positive
сен,3.6400469392282995,positive
зва,3.633481661516111,positive
гюл,3.626349083081626,positive
ирз,3.5885420675334267,positive
лие,3.5789379281509444,positive
джи,3.575368942333122,positive
в ,3.5426822325737413,positive
ме,3.5399974675120793,positive
ям ,3.521513935293057,positive
дир,3.503401387102647,positive
юсу,3.5032073526480634,positive
 ис,3.4973054517683213,positive
ад ,3.451623754658892,positive
 гю,3.4147243245182293,positive
хач,3.408506396920158,positive
изв,3.3946271474852683,positive
хиз,3.3775978920518686,positive
уе,3.3769259200645876,positive
ити,3.3548696799153555,positive
а ж,3.3321488815657943,positive
утд,3.3244527506116883,positive
ам,3.3048727732251963,positive
усе,3.2964721020517675,positive
ере,3.2928918755719265,positive
ало,3.2907152280954928,positive
лик,3.2891315360324094,positive
в г,3.2826190929552697,positive
ова,3.282591733980027,positive
иял,3.2543593078439748,positive
га,3.250974513660468,positive
дур,3.220257621678553,positive
ул,3.2108495154022694,positive
ьяе,3.20291958214408,positive
ибе,3.199737001737468,positive
ап,3.1962248747943893,positive
уди,3.1567794533617084,positive
 ка,3.1533782991204893,positive
диб,3.143655954924272,positive
лам,3.1353870367792,positive
 ч,3.124611085733838,positive
нап,3.1187578587580527,positive
сир,3.115968736522212,positive
бек,3.112990880624118,positive
ср,3.1098412585214454,positive
ерл,3.086622320545589,positive
 ат,3.0642048453263047,positive
сма,3.0470123390896697,positive
 ид,3.0451061649538227,positive
ад,3.014426481862281,positive
мае,3.0080529869453887,positive
сае,3.00373405136326,positive
 зу,3.003236930684959,positive
ати,3.002363560901197,positive
гус,3.0009263974876217,positive
шам,2.999878359828939,positive
хал,2.9988186107714916,positive
нар,2.992665479219052,positive
ано,2.9900808321679024,positive
ру,2.975703280116069,positive
ди,2.972395376535611,positive
жаб,2.9709216146309814,positive
укм,2.9604120723762417,positive
ум,2.9603152744379475,positive
ута,2.9555719650082093,positive
аи,2.9508295652468157,positive
ке,2.9470463797799167,positive
ги,2.9454800711524363,positive
апи,2.943651745821576,positive
йла,2.94106894451633,positive
саи,2.935816281539017,positive
 на,2.930682015577498,positive
амм,2.92243732793023,positive
гит,2.919127828757769,positive
ат,2.8893432186665082,positive
йг,2.886510035573391,positive
хб,2.885140209435852,positive
ахб,2.845886246718627,positive
ко ,2.8434903975513164,positive
пат,2.8421943793618527,positive
 ш,2.828020244718885,positive
айг,2.826738702088612,positive
 му,2.8260002685132073,positive
мис,2.8143755114834974,positive
ят,2.813439267508762,positive
лей,2.812683592837638,positive
 ме,2.809926118482315,positive
ай,2.809036820490215,positive
има,2.800600991335714,positive
лта,2.7930232066082863,positive
бак,2.7929688932199155,positive
бий,2.7780809073623267,positive
ана,2.7626195948989,positive
ов ,2.7620212829749753,positive
рха,2.7583101608721154,positive
вуд,2.7500803789938426,positive
 ку,2.7446503920057816,positive
риз,2.743752718222603,positive
ач,2.7233326593808798,positive
лае,2.7083168379216516,positive
джа,2.7038405131259924,positive
кур,2.6924483544724374,positive
раж,2.684639839907782,positive
хов,2.667805588304196,positive
аву,2.6649684383919703,positive
гер,2.6597104905712055,positive
ясо,2.655984556827621,positive
уху,2.646649473482986,positive
фия,2.6322478320115588,positive
кбе,2.632065798238214,positive
суп,2.6320432636833235,positive
раг,2.6299727775349426,positive
 з,2.629564190922278,positive
арс,2.62856814184049,positive
йн,2.6274078511545818,positive
дая,2.626464990116202,positive
мин,2.61848487647643,positive
овн,2.6065979789756635,positive
каи,2.5959248202106857,positive
аир,2.595445577539538,positive
киф,2.5946909470268755,positive
дул,2.586130075440895,positive
гим,2.56612938749812,positive
ема,2.5648536276316687,positive
сел,2.564125375277541,positive
 ба,2.555254165807973,positive
аба,2.5549031568320775,positive
зул,2.552048846723001,positive
жа,2.54990393573222,positive
ейн,2.5479512533286046,positive
угу,2.543338691129735,positive
фае,2.5336101895284258,positive
олт,2.5108149954549166,positive
йно,2.508330132835273,positive
 са,2.503186627782286,positive
лга,2.5006457830886624,positive
ид,2.4881208675119786,positive
яра,2.48585105885281,positive
кае,2.4789285958853413,positive
