feature,coef,impact
т ,4.663182994652612,positive
аг,4.259448833258444,positive
иев,4.105611739006336,positive
хан,4.0438217973054424,positive
аев,3.9344794600370943,positive
ае,3.8241200131403175,positive
ие,3.792561758945183,positive
ма,3.7430188767474473,positive
ат ,3.621863698219701,positive
али,3.607439773445349,positive
ами,3.5823672205260477,positive
дин,3.557942012388663,positive
аб,3.450057234250088,positive
мед,3.446022142544398,positive
дж,3.3346275305667192,positive
ам,3.2427727141864806,positive
му,3.1160478564437883,positive
су,3.10224149538074,positive
ул,3.0516784037830478,positive
дов,3.034467762022966,positive
иб,2.9018732969520133,positive
гом,2.89082916708443,positive
маг,2.882090279145184,positive
аго,2.852074111744318,positive
оме,2.847013159637517,positive
гас,2.7766848218563878,positive
за,2.773695669941901,positive
еко,2.753651200201779,positive
ме,2.650326165589148,positive
лие,2.638828351417343,positive
ом,2.6031242139333015,positive
бек,2.5700942667584847,positive
аро,2.5356087548976283,positive
сул,2.449002185195427,positive
 ис,2.4369205252598616,positive
 ш,2.4229345778819864,positive
ва ,2.416455024643875,positive
га,2.3272486364566185,positive
ят ,2.31773983844836,positive
ула,2.3095911255373545,positive
гад,2.2947700204489947,positive
аги,2.262149426790851,positive
ов,2.2508411616063566,positive
в ,2.2420834356968924,positive
уд,2.2336199962469396,positive
джи,2.215252323206932,positive
адж,2.2084147866835036,positive
жа,2.1821976068777125,positive
ед,2.181020760392804,positive
 за,2.1747601474079543,positive
 ом,2.1573261229682563,positive
ус,2.14942388054382,positive
ият,2.1358148791214315,positive
ило,2.090458460407388,positive
ас,2.0900605841204856,positive
 са,2.0828758933343905,positive
 з,2.044672285319069,positive
рб,2.0318479759433643,positive
аса,2.0268395309932066,positive
ум,2.026572903392079,positive
сма,2.018920356944842,positive
ба,2.0104127669165988,positive
ано,1.961538127906641,positive
уди,1.9594894382500005,positive
ша,1.9330662118767714,positive
бду,1.9271551867517096,positive
жи,1.9265922453930886,positive
са,1.9117345693934678,positive
бе,1.8902240188449293,positive
джа,1.8832130052787506,positive
ги,1.8723482616960916,positive
ур,1.864096739348203,positive
 му,1.8624214789058404,positive
ди,1.8611018261180465,positive
мус,1.860961513574176,positive
урб,1.8593786018458627,positive
има,1.8426005748982097,positive
 ша,1.8401751609687063,positive
би,1.8373691099183216,positive
зан,1.831978303030803,positive
йн,1.8288312931438437,positive
в з,1.8234774576743036,positive
ят,1.8125612152145882,positive
ад,1.7983952328137554,positive
из,1.7980729844639514,positive
асу,1.78555513206828,positive
