ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000_P91.pkl,0.0839,0.0567,1.0,0.1074,"[[64, 0], [1064, 3441]]"
BalancedData_50000_P92.pkl,0.0934,0.0641,1.0,0.1204,"[[64, 0], [935, 3570]]"
BalancedData_50000_P93.pkl,0.1059,0.0728,1.0,0.1357,"[[64, 0], [815, 3690]]"
BalancedData_50000_P94.pkl,0.1226,0.084,1.0,0.155,"[[64, 0], [698, 3807]]"
BalancedData_50000_P95.pkl,0.1505,0.0988,1.0,0.1798,"[[64, 0], [584, 3921]]"
BalancedData_50000_P96.pkl,0.1963,0.1252,1.0,0.2226,"[[64, 0], [447, 4058]]"
BalancedData_50000_P97.pkl,0.2693,0.1546,1.0,0.2678,"[[64, 0], [350, 4155]]"
BalancedData_100000_P91.pkl,0.1362,0.1058,1.0,0.1913,"[[64, 0], [541, 3964]]"
BalancedData_100000_P92.pkl,0.1566,0.1183,1.0,0.2116,"[[64, 0], [477, 4028]]"
BalancedData_100000_P93.pkl,0.1864,0.1322,1.0,0.2336,"[[64, 0], [420, 4085]]"
BalancedData_100000_P94.pkl,0.2299,0.1517,1.0,0.2634,"[[64, 0], [358, 4147]]"
BalancedData_100000_P95.pkl,0.2909,0.1698,1.0,0.2902,"[[64, 0], [313, 4192]]"
BalancedData_100000_P96.pkl,0.3993,0.2071,1.0,0.3432,"[[64, 0], [245, 4260]]"
BalancedData_100000_P97.pkl,0.53,0.2443,1.0,0.3926,"[[64, 0], [198, 4307]]"
BalancedData_200000_P91.pkl,0.2918,0.1839,1.0,0.3107,"[[64, 0], [284, 4221]]"
BalancedData_200000_P92.pkl,0.3502,0.2006,1.0,0.3342,"[[64, 0], [255, 4250]]"
BalancedData_200000_P93.pkl,0.4342,0.2215,1.0,0.3626,"[[64, 0], [225, 4280]]"
BalancedData_200000_P94.pkl,0.5111,0.2481,1.0,0.3975,"[[64, 0], [194, 4311]]"
BalancedData_200000_P95.pkl,0.6151,0.2838,0.9844,0.4406,"[[63, 1], [159, 4346]]"
BalancedData_200000_P96.pkl,0.7135,0.3261,0.9375,0.4839,"[[60, 4], [124, 4381]]"
BalancedData_200000_P97.pkl,0.7968,0.3548,0.8594,0.5023,"[[55, 9], [100, 4405]]"
BalancedData_500000_P91.pkl,0.6737,0.3177,0.9531,0.4766,"[[61, 3], [131, 4374]]"
BalancedData_500000_P92.pkl,0.7235,0.3314,0.9062,0.4854,"[[58, 6], [117, 4388]]"
BalancedData_500000_P93.pkl,0.7672,0.3476,0.8906,0.5,"[[57, 7], [107, 4398]]"
BalancedData_500000_P94.pkl,0.8089,0.3741,0.8594,0.5213,"[[55, 9], [92, 4413]]"
BalancedData_500000_P95.pkl,0.8558,0.3937,0.7812,0.5236,"[[50, 14], [77, 4428]]"
BalancedData_500000_P96.pkl,0.893,0.4464,0.7812,0.5682,"[[50, 14], [62, 4443]]"
BalancedData_500000_P97.pkl,0.9254,0.4943,0.6719,0.5695,"[[43, 21], [44, 4461]]"
BalancedData_1000000_P91.pkl,0.8563,0.4286,0.7969,0.5574,"[[51, 13], [68, 4437]]"
BalancedData_1000000_P92.pkl,0.8804,0.4336,0.7656,0.5537,"[[49, 15], [64, 4441]]"
BalancedData_1000000_P93.pkl,0.9002,0.4486,0.75,0.5614,"[[48, 16], [59, 4446]]"
BalancedData_1000000_P94.pkl,0.9183,0.4946,0.7188,0.586,"[[46, 18], [47, 4458]]"
BalancedData_1000000_P95.pkl,0.9336,0.5125,0.6406,0.5694,"[[41, 23], [39, 4466]]"
BalancedData_1000000_P96.pkl,0.9496,0.5278,0.5938,0.5588,"[[38, 26], [34, 4471]]"
BalancedData_1000000_P97.pkl,0.9643,0.5789,0.5156,0.5455,"[[33, 31], [24, 4481]]"
BalancedData_3000000_P91.pkl,0.9649,0.5625,0.5625,0.5625,"[[36, 28], [28, 4477]]"
BalancedData_3000000_P92.pkl,0.9698,0.5714,0.5625,0.5669,"[[36, 28], [27, 4478]]"
BalancedData_3000000_P93.pkl,0.974,0.5789,0.5156,0.5455,"[[33, 31], [24, 4481]]"
BalancedData_3000000_P94.pkl,0.9778,0.6154,0.5,0.5517,"[[32, 32], [20, 4485]]"
BalancedData_3000000_P95.pkl,0.9812,0.64,0.5,0.5614,"[[32, 32], [18, 4487]]"
BalancedData_3000000_P96.pkl,0.9841,0.6522,0.4688,0.5455,"[[30, 34], [16, 4489]]"
BalancedData_3000000_P97.pkl,0.9873,0.6667,0.4062,0.5049,"[[26, 38], [13, 4492]]"
