modelsUp4,Precision,Recall,f1,Confusion Matrix
50000.pkl,0.3228,0.9531,0.4822,"[[61, 3], [128, 4377]]"
100000.pkl,0.3392,0.9062,0.4936,"[[58, 6], [113, 4392]]"
200000.pkl,0.3478,0.875,0.4978,"[[56, 8], [105, 4400]]"
500000.pkl,0.3901,0.8594,0.5366,"[[55, 9], [86, 4419]]"
1000000.pkl,0.4109,0.8281,0.5492,"[[53, 11], [76, 4429]]"
3000000.pkl,0.4679,0.7969,0.5896,"[[51, 13], [58, 4447]]"
50000.pkl,0.3846,0.8594,0.5314,"[[55, 9], [88, 4417]]"
100000.pkl,0.3926,0.8281,0.5327,"[[53, 11], [82, 4423]]"
200000.pkl,0.4274,0.7812,0.5525,"[[50, 14], [67, 4438]]"
500000.pkl,0.4381,0.7188,0.5444,"[[46, 18], [59, 4446]]"
1000000.pkl,0.4608,0.7344,0.5663,"[[47, 17], [55, 4450]]"
